id,tags
9020929.jpg,"['린베베', '좋아요', '육아소통', '육아맘', '일상소통', '소통스타그램', '애스타그램', '코로나19극복', '닭띠맘', '원숭이띠맘', '개띠맘', '돼지띠맘', '쥐띠맘', '소띠맘', '범띠맘', '흑호띠맘', '남아여름슈트', '여름아동복세일', '여아아동복세일', '남아아동복세일', '여아여름신상', '유아여름옷세일', '아기여름옷세일', '아동여름옷세일', '남아여름옷세일', '여아여름옷세일', '주니어여름옷세일', '딸옷세일', '아들옷세일', '베베브루니세일']"
9023580.jpg,"['아깽이', '야엘', '실비아', '휴일아침', '데본렉스', '고양이', '냥팔맞팔', '냥팔', '일상', 'daily', '소통', '6개월고양이', '11개월고양이', '집사맞팔', '집사스타그램', '냥스타그램', '집사일상', '집사소통', 'devonrex', 'devonrexcat', 'cat', 'catstagram', 'babycat']"
9003622.jpg,"['일요일', '일요일저녁', '저녁', '마무리', '하루마무리', '주말', '주말순삭', '주말스타그램', '인스타', '인스타그램', '먹방', '먹스타그램', '야식', '야식메뉴', '야식추천', '야식타임', '야식스타그램', 'jmt', '존맛탱', '존맛탱구리']"
9011386.jpg,"['인스타패션', '데일리룩', '패션', 'ootd', '오오티디', '데일리', '패션스타그램', 'daily', '일상', '옷스타그램', 'dailylook', 'fashion', '데일리코디', '스타일그램', '옷', '코디', '오늘코디', '패션그램', '데일리패션', '패션인스타', '남자코디', '바다룩', '여름코디', '여름', '바다', '을왕리']"
9003960.jpg,"['일상', '맛집스타그램', '일상생활', '먹팔해요', '일상스타그램', '맞팔은댓', '먹팔맞팔', '인스타일상', '난먹기만할거야', '먹자그램', '오늘먹방끝', '먹방시작', '먹부림', '돼지꿀꿀', '음식']"
9024488.jpg,"['냥스타그램', '냥', '냥이스타그램', '캣스타그램', '캣타워', '캣', '캣초딩', '고양이', '고양이일상', '고양이그램', '개냥이', '집사', '집사맞팔', '집사스타그램', '먼치킨', '스코티쉬폴드']"
9000917.jpg,"['가족여행', '여수', '좋반테러...', '아들스타그램', '플로리스트', '가족스타그램', '풍경사진', '일상그램', '멋스타그램', '먹방', '맛스타그램', '좋아요그램', '아빠요리그램', '살림', '밥스타그램', '봉사활동', '캣맘일기', '감성', '행복하자', '사랑해', '맛', '고양이집사', '삶', '부부', '하루', '펫스타그램', '좋반', '줌마그램', '아이간식', '소확행']"
9012838.jpg,"['협찬', '봄떡방눈으로', '커플스타그램', '럽스타그램', '먹스타그램', '데이트', '떡케이크', '의정부떡케이크', '의정부반전케이크', '의정부용돈케이크', '디저트', '의정부봄떡방', '생일케이크', '직장인', '데일리', '아침', '출근', '수요일', 'food', 'koreafood', 'koreacake', 'dessert', 'cake', 'couple', 'daily', 'follow']"
9000867.jpg,"['코지베이크숍', '피스타치오치즈쿠키푸딩', '뎡이_코지베이크숍....', '빵', '빵순이', '빵추천', '빵맛집', '빵스타그램', '먹스타그램', '쿠키', '쿠키푸딩', '빵푸딩', '떠먹케', '피스타치오', '피스타치오케이크', '코지베이크숍후기', '빵택배', '빵택배맛집', '좋반', '좋아요반사']"
9013619.jpg,"['사랑', '날짜', '여자', 'cute', 'girl', 'goodafternoon', 'goodvibes', 'instagram', 'followｍe', 'likeforlikes', 'surprise', 'photo', 'photography', 'photoday', 'love', 'life', 'loveyourself', 'loveislove', 'energy']"
9025095.jpg,"['푸들스타그램', '푸들']"
